,First_name,Gender
0,aabiskar,m
1,aachal,m
2,aadarsh,m
3,aadarsha,m
4,aadesh,m
5,aaditya,m
6,aagya,m
7,aakash,m
8,aakriti,f
9,aalok,m
10,aanchal,m
11,aaniya,f
12,aaradhya,m
13,aaras,m
14,aarati,f
15,aarav,m
16,aarogya,m
17,aaron,m
18,aarya,f
19,aaryaman,m
20,aaryan,m
21,aashana,f
22,aashif,m
23,aashik,m
24,aashika,f
25,aashish,m
26,aashraya,m
27,aashu,f
28,aashutosh,m
29,aasna,f
30,aastha,f
31,aavas,m
32,aavash,m
33,aawaz,m
34,aayush,m
35,aayusha,f
36,aayushka,f
37,aayushma,f
38,aayushree,f
39,abal,m
40,abdul,m
41,abhi,m
42,abhijit,m
43,abhinab,m
44,abhinav,m
45,abhinaya,m
46,abhisam,m
47,abhishek,m
48,abhishekh,m
49,abhishrent,m
50,abinash,m
51,abishek,m
52,acchividhu,f
53,achyut,m
54,adarsha,f
55,adheesh,m
56,adhipman,m
57,aditi,f
58,aditya,m
59,agrim,m
60,ainul,m
61,ajay,m
62,ajeet,m
63,ajib,m
64,ajit,m
65,akash,m
66,akhilesh,m
67,akito,m
68,akriti,f
69,akshay,m
70,alex,m
71,alin,m
72,alina,f
73,alish,m
74,aliza,f
75,alok,m
76,amamul,m
77,aman,m
78,amartyaswor,m
79,amit,m
80,amlesh,m
81,amrita,f
82,amu,f
83,amulya,m
84,anamika,f
85,ananda,m
86,ananya,f
87,aniket,m
88,anil,m
89,anima,f
90,animesh,m
91,anish,m
92,anisha,f
93,anjali,f
94,anjil,m
95,anjila,f
96,ankit,m
97,ankita,f
98,ankoor,m
99,anmol,m
100,annu,f
101,anshu,m
102,anubhav,m
103,anugya,m
104,anuj,m
105,anuja,f
106,anujaya,f
107,anup,m
108,anupam,m
109,anupama,f
110,anupraj,m
111,anurag,m
112,anush,m
113,anusha,f
114,anuska,f
115,anustha,f
116,aparna,m
117,apekshya,f
118,apil,m
119,arabin,m
120,aradhya,m
121,arbin,m
122,archisha,f
123,arjit,m
124,arpan,m
125,arpita,f
126,arun,m
127,arya,f
128,aryaman,m
129,asahi,m
130,asbin,m
131,ashesh,m
132,ashik,m
133,ashim,m
134,ashish,m
135,ashmit,m
136,ashok,m
137,ashraya,m
138,ashutosh,m
139,ashwini,f
140,asim,m
141,asmit,m
142,asmita,f
143,astuti,f
144,atit,m
145,avinabh,m
146,avinash,m
147,avinav,m
148,avisek,m
149,avishek,m
150,aviyan,m
151,awanish,m
152,awiral,m
153,ayush,m
154,ayusha,f
155,ayushma,f
156,badal,m
157,baldeep,m
158,baliram,m
159,banshika,f
160,barsha,f
161,basant,m
162,bhagya,m
163,bhagyarath,m
164,bharat,m
165,bhaskar,m
166,bhawana,f
167,bhawani,f
168,bhishm,m
169,bhupendra,m
170,bhuwan,m
171,bibek,m
172,bibhav,m
173,bibhu,m
174,bibhushan,m
175,bibhushika,f
176,bibisha,f
177,bidhan,m
178,bidhyasagar,m
179,bijay,m
180,bijaya,m
181,bijeet,m
182,bikal,m
183,bikalpa,m
184,bikash,m
185,bikesh,m
186,bikram,m
187,bimal,m
188,bimarsh,m
189,bimarsha,f
190,bimochan,m
191,binav,m
192,binay,m
193,binaya,m
194,binayak,m
195,binisha,f
196,binit,m
197,biniv,m
198,binu,f
199,bipin,m
200,biplabi,f
201,biplov,m
202,bipul,m
203,biraj,m
204,birat,m
205,birendra,m
206,bisesh,m
207,bishal,m
208,bisham,m
209,bishant,m
210,bishesh,m
211,bishow,m
212,bishowdip,m
213,bishwas,m
214,biswas,m
215,bivash,m
216,bivek,m
217,brijesh,m
218,bronisha,f
219,chand,m
220,chandan,m
221,chandish,m
222,charwi,f
223,chetan,m
224,chetana,f
225,chhawi,f
226,chhaya,f
227,chirayu,m
228,cosmic,m
229,cyrus,m
230,dakshata,f
231,darpan,m
232,darshan,m
233,darwin,m
234,deepsan,m
235,deepshikha,f
236,deewa,f
237,dendan,m
238,denish,m
239,denny,f
240,dev,m
241,devesh,m
242,devish,m
243,dhan,m
244,dhiraj,m
245,dhrub,m
246,dhurub,m
247,diba,f
248,dibya,m
249,dibyansh,m
250,diksha,f
251,dikshant,m
252,dikshika,f
253,dikshit,m
254,dikshya,f
255,dikshyanta,f
256,dilasha,f
257,dinesh,m
258,dipa,f
259,dipak,m
260,dipendra,m
261,dipesh,m
262,dipika,f
263,dipisha,f
264,dipsa,f
265,dipti,f
266,dishant,m
267,ditish,m
268,diwakar,m
269,diwas,m
270,diwash,m
271,drishti,f
272,dristi,f
273,dropati,f
274,elina,f
275,elsan,m
276,enish,m
277,enjila,f
278,eshika,f
279,estella,f
280,evika,f
281,faruka,f
282,fayeza,f
283,gajendra,m
284,ganesh,m
285,ganga,f
286,garima,f
287,gaurab,m
288,gaurav,m
289,gautam,m
290,ghanashyam,m
291,giriraj,m
292,girish,m
293,gokarn,m
294,gopal,m
295,govin,m
296,govinda,m
297,grishma,f
298,gyanendra,m
299,hari,m
300,harikrishna,m
301,hem,m
302,hemanshu,m
303,himal,m
304,himani,f
305,himanshi,f
306,himanshu,m
307,hitesh,m
308,homnath,m
309,hridam,m
310,hridayandra,m
311,hridayanshu,m
312,hridesh,m
313,hrishav,m
314,hritik,m
315,impress,m
316,indus,m
317,inoj,m
318,isha,f
319,ishab,m
320,ishan,m
321,ishashree,f
322,ishwor,m
323,james,m
324,janak,m
325,jashmi,f
326,jasmine,f
327,jastika,f
328,jeena,f
329,jeeyas,m
330,jenik,m
331,jenish,m
332,jenisha,f
333,jenith,m
334,jenny,f
335,jeron,m
336,jessica,f
337,jiban,m
338,jishan,m
339,jiwan,m
340,johan,m
341,joshana,f
342,junika,f
343,junu,f
344,jyoti,f
345,kabi,m
346,kabiraj,m
347,kabita,f
348,kalpana,f
349,kalpit,m
350,kamakshi,f
351,kamalesh,m
352,kanchan,m
353,kapil,m
354,karuna,f
355,kasmik,m
356,kaushal,m
357,kaustuv,m
358,keshab,m
359,keshav,m
360,khushboo,f
361,khushi,f
362,kiran,m
363,kirtan,m
364,kohinoor,f
365,kripa,f
366,krish,m
367,krisha,f
368,krishala,f
369,krishan,m
370,krishma,f
371,krishna,m
372,kristina,f
373,kritan,m
374,kritazya,m
375,kriti,f
376,kritika,f
377,kritima,f
378,kritish,m
379,kritisha,f
380,kshitij,m
381,kshitish,m
382,kshitiz,m
383,kul,m
384,kushal,m
385,lakhan,m
386,lakpa,m
387,lalan,m
388,lalit,m
389,lalita,f
390,laxman,m
391,laxmi,f
392,leena,f
393,lijima,f
394,lilaj,m
395,liza,f
396,lokendra,m
397,lokesh,m
398,lokman,m
399,lumanti,f
400,maansi,f
401,madhav,m
402,madhusudan,m
403,mahendra,m
404,mamata,f
405,manasi,f
406,manaswi,f
407,mandip,m
408,mandira,f
409,mani,f
410,manish,m
411,manisha,f
412,manita,f
413,manjil,m
414,manjila,f
415,manjit,m
416,manju,f
417,manoj,m
418,mausam,m
419,maya,f
420,meena,f
421,melina,f
422,mikchhiring,m
423,mikita,f
424,milan,m
425,miraj,m
426,mishan,m
427,mohan,m
428,mohit,m
429,monika,f
430,mukesh,m
431,muna,f
432,muskan,m
433,nabin,m
434,nabindra,m
435,naina,f
436,namuna,f
437,narayan,m
438,narendra,m
439,naresh,m
440,naveen,m
441,navin,m
442,navnit,m
443,nawaraj,m
444,neer,m
445,neha,f
446,nehab,m
447,nibesh,m
448,nibhrit,m
449,nicholas,m
450,nidan,m
451,nikesh,m
452,niket,m
453,nikhil,m
454,nimesh,m
455,nimisha,f
456,nimta,f
457,ninamhang,m
458,nipsha,f
459,nipurna,m
460,niraj,m
461,nirajan,m
462,niranjan,m
463,nirdesh,m
464,nirdeshika,f
465,nirika,f
466,nirjal,m
467,nirjara,f
468,nirmal,m
469,nirnaya,m
470,nirwan,m
471,nischal,m
472,nischhal,m
473,nisha,f
474,nishan,m
475,nishant,m
476,nishchal,m
477,nisma,f
478,nitesh,m
479,niyati,f
480,nugen,m
481,nutan,m
482,ojashwi,f
483,ojaswi,f
484,om,m
485,palistha,f
486,pallav,m
487,pankaj,m
488,paras,m
489,paribesh,m
490,parishkrit,m
491,parth,m
492,pawan,m
493,payal,m
494,piyush,m
495,pooja,f
496,prabal,m
497,prabesh,m
498,prabhat,m
499,prabhav,m
500,prabidhi,f
501,prabin,m
502,prachit,m
503,prachun,m
504,pradeep,m
505,pradiksha,f
506,pradip,m
507,pragya,f
508,pragyan,m
509,prajeeta,f
510,prajwal,m
511,prajwol,m
512,prakalpa,m
513,prakash,m
514,prakriti,f
515,pramesh,m
516,pramit,m
517,pramod,m
518,pranav,m
519,pranaya,f
520,pranika,f
521,pranish,m
522,pranisha,f
523,pranjal,m
524,pranjit,m
525,pranshu,f
526,prasamsha,f
527,prasanna,m
528,prasannata,f
529,prasansa,f
530,prasansha,f
531,prashamsa,f
532,prashamshya,f
533,prashan,m
534,prashanna,m
535,prashant,m
536,prashanta,f
537,prashesh,m
538,prashil,m
539,prasid,m
540,prasidha,m
541,prasil,m
542,prasis,m
543,prasun,m
544,prateek,m
545,pratigya,m
546,pratik,m
547,pratiksha,f
548,pratikshya,f
549,pratima,f
550,pratishthit,m
551,pratistha,f
552,prativa,f
553,pratush,m
554,pratyoos,m
555,pratyush,m
556,pravesh,m
557,prayasa,f
558,prayojan,m
559,preeti,f
560,prem,m
561,prerana,f
562,prince,m
563,princika,f
564,prinka,f
565,prisam,m
566,pritaz,m
567,prithak,m
568,prithu,f
569,priti,f
570,priya,f
571,priyajan,m
572,priyanka,f
573,puja,f
574,pujan,m
575,pujita,f
576,pukar,m
577,pulendra,m
578,purnika,f
579,purnima,f
580,purusotam,m
581,puspa,f
582,queen,f
583,rabin,m
584,rabina,f
585,rabindra,m
586,rachit,m
587,radheshyam,m
588,ragee,f
589,raghav,m
590,ragini,f
591,ragosh,m
592,rahul,m
593,raj,m
594,rajan,m
595,rajanand,m
596,rajani,f
597,rajat,m
598,rajendra,m
599,rajesh,m
600,rajish,m
601,rajit,m
602,rajiv,m
603,rajkumar,m
604,rajun,m
605,rajwala,f
606,rakesh,m
607,rakshya,f
608,ram,m
609,raman,m
610,ranjan,m
611,ranjana,f
612,ranjit,m
613,rasdeep,m
614,rashami,f
615,rashika,f
616,rashmi,f
617,ratneshwar,m
618,raunak,m
619,ravi,m
620,ravindra,m
621,reeju,f
622,reejul,f
623,reina,f
624,rejina,f
625,rekha,f
626,renisha,f
627,resha,f
628,rhiddhi,f
629,richa,f
630,rifat,m
631,riik,m
632,rija,f
633,rijan,m
634,rikesh,m
635,rikrita,f
636,risab,m
637,rishab,m
638,rishap,m
639,rishav,m
640,rishek,m
641,rishikesh,m
642,rishit,m
643,ritesh,m
644,ritik,m
645,ritish,m
646,ritu,f
647,riwaj,m
648,riya,f
649,riyan,m
650,rizan,m
651,rmoon,m
652,rodish,m
653,rohan,m
654,rohit,m
655,roja,f
656,rojin,f
657,rojina,f
658,roma,f
659,roman,m
660,romas,m
661,romee,f
662,romie,f
663,ronak,m
664,ronish,m
665,roshan,m
666,roshani,f
667,roshil,m
668,roshni,f
669,rosy,f
670,rounak,m
671,royal,m
672,royas,m
673,rubin,m
674,ruby,f
675,rujan,m
676,rujin,m
677,rupesh,m
678,rusha,f
679,rushal,m
680,saan,m
681,sabal,m
682,sabhya,f
683,sabin,m
684,sabina,f
685,sachhyam,m
686,sachin,m
687,sadhana,f
688,sadiksha,f
689,sadikshya,f
690,sadina,f
691,safal,m
692,sagar,m
693,sagarmani,m
694,sagun,f
695,sagya,f
696,sahaj,m
697,sahanaj,m
698,sahid,m
699,sahil,m
700,saimon,m
701,saisa,f
702,sajina,f
703,sakar,m
704,sakchhyam,m
705,saklen,m
706,sakriya,f
707,saksham,m
708,sakshi,f
709,sakshy,f
710,sakshyam,m
711,saleel,m
712,samaksha,f
713,saman,m
714,samarpan,m
715,samaya,f
716,sambid,m
717,sambodhan,m
718,sameer,m
719,samikshya,f
720,samip,m
721,samir,m
722,samira,f
723,sammit,m
724,sampada,f
725,sampurna,f
726,samragi,f
727,samrat,m
728,samriddhi,f
729,samridhi,f
730,samundra,m
731,samyam,m
732,samyog,m
733,sanaya,f
734,sanchita,f
735,sandeep,m
736,sandesh,m
737,sandhya,f
738,sandip,m
739,sangit,m
740,sanjana,f
741,sanjay,m
742,sanjeet,m
743,sanjib,m
744,sanjip,m
745,sanjit,m
746,sanjita,f
747,sankalp,m
748,sankalpa,m
749,sanskar,m
750,sanskriti,f
751,santosh,m
752,santu,f
753,sapana,f
754,saptak,m
755,sarad,m
756,sarina,f
757,sarju,f
758,saroj,m
759,sashank,m
760,sashmin,m
761,sashwot,m
762,saswat,m
763,satwik,m
764,saugat,m
765,sauhardha,m
766,saujan,m
767,saumya,m
768,saurab,m
769,saurabmalla,f
770,saurav,m
771,sayuj,m
772,seema,f
773,seewani,f
774,sejal,m
775,shafal,m
776,shahash,m
777,shailendra,m
778,shair,m
779,shaksham,m
780,shakti,f
781,shaligram,m
782,shaloni,f
783,shambhu,m
784,shanaya,f
785,shankar,m
786,sharad,m
787,shashank,m
788,shashwat,m
789,sheersa,f
790,shekhar,m
791,shiba,m
792,shikha,f
793,shikhar,m
794,shiksha,f
795,shirish,m
796,shishir,m
797,shiv,m
798,shiva,m
799,shivam,m
800,shivang,m
801,shivashankar,m
802,shivshankar,m
803,shovit,m
804,shraddha,f
805,shrajeela,f
806,shrawon,m
807,shree,m
808,shreed,m
809,shreejal,m
810,shreejan,m
811,shreevatsa,f
812,shreeya,f
813,shreeyam,m
814,shreeyukta,f
815,shrejal,m
816,shreya,f
817,shreyansh,m
818,shreyas,m
819,shreyash,m
820,shrijan,m
821,shrinkhala,f
822,shristi,f
823,shristika,f
824,shristy,f
825,shruti,f
826,shubham,m
827,shubheksha,f
828,shudan,m
829,shuvam,m
830,shuyash,m
831,shweta,f
832,shyam,m
833,siddhant,m
834,siddhanta,f
835,siddharth,m
836,siddhartha,m
837,sijan,m
838,silvica,f
839,simon,m
840,simran,m
841,sindhu,f
842,sirsha,f
843,sital,m
844,sitashma,f
845,sitesh,m
846,siwangi,f
847,smarika,f
848,smritee,f
849,smriti,f
850,sneha,f
851,snehi,f
852,snup,m
853,sobit,m
854,somya,f
855,sona,f
856,sonia,f
857,sonika,f
858,soniya,f
859,sonu,f
860,sopnil,m
861,soyam,m
862,soyesh,m
863,spandan,m
864,sparsh,m
865,spreeha,f
866,srashta,f
867,srijal,m
868,srijana,f
869,sristi,f
870,sthapana,f
871,stuti,f
872,subash,m
873,subesh,m
874,subha,f
875,subhakar,m
876,subham,m
877,subhas,m
878,subhash,m
879,subhashish,m
880,subhava,f
881,subhekshya,f
882,subhikshya,f
883,subidha,f
884,subodh,m
885,sudarshan,m
886,sudesh,m
887,sudikshya,f
888,sudip,m
889,sudishya,f
890,sudisna,f
891,sugam,m
892,sujal,m
893,sujan,m
894,sujen,m
895,sukrit,m
896,sulab,m
897,sulav,m
898,suman,m
899,sumin,m
900,sumina,f
901,sumira,f
902,sumit,m
903,sumnima,f
904,sunayan,m
905,sundeep,m
906,sunil,m
907,sunim,m
908,sunitee,f
909,suniti,f
910,sunny,m
911,suprem,m
912,suprim,m
913,supriya,f
914,supurda,f
915,surachi,f
916,suraj,m
917,suravi,f
918,surendra,m
919,suresh,m
920,susan,m
921,sushant,m
922,sushil,m
923,sushma,f
924,susmita,f
925,suvam,m
926,suvrata,f
927,suwarna,f
928,suyasa,f
929,suyash,m
930,suyasha,f
931,suyesh,m
932,suyog,m
933,swagat,m
934,swanti,f
935,swareet,m
936,swarnim,m
937,swaroop,m
938,swarup,m
939,swastik,m
940,swastika,f
941,swatantra,m
942,swayaksha,f
943,swechchha,f
944,swikar,m
945,sworup,m
946,tank,m
947,tanka,f
948,tanu,f
949,tapendra,m
950,teena,f
951,tejaswi,f
952,tejendra,m
953,thyam,m
954,tisha,f
955,tishya,f
956,topendra,m
957,trisha,f
958,trishal,m
959,trishala,f
960,tushaar,m
961,tushar,m
962,uchida,f
963,udaya,m
964,uddhav,m
965,udhyan,m
966,ujwalta,f
967,uma,f
968,umesh,m
969,umit,m
970,unika,f
971,unish,m
972,unnati,f
973,upendra,m
974,usha,f
975,utkrist,m
976,utkristha,f
977,utsav,m
978,utshav,m
979,uttam,m
980,uzeni,f
981,vaibhav,m
982,vaishnabi,f
983,vaskar,m
984,vidhan,m
985,vijay,m
986,vipran,m
987,yajjyu,m
988,yalson,m
989,yangchen,m
990,yashna,f
991,yashoda,f
992,yayok,m
993,yog,m
994,yogendra,m
995,yogesh,m
996,yubin,m
997,yubraj,m
998,yunesh,m
999,yunika,f
1000,yunisha,f
1001,yuvraj,m
1002,yuwen,m
